@relation tk_aggregate

@attribute R1 numeric
@attribute D1 numeric
@attribute R2 numeric
@attribute D2 numeric
@attribute R3 numeric
@attribute D3 numeric
@attribute R4 numeric
@attribute D4 numeric
@attribute R5 numeric
@attribute D5 numeric
@attribute R6 numeric
@attribute D6 numeric
@attribute R7 numeric
@attribute Label {N,Y}

@data
0.31,0.4,0.29,0.47,0.31,0.16,10,12,0.5,0.5,0.6,0.58,2,N
0.31,0.38,0.38,0.47,0.4,0.27,10,12,0.33,0.55,0.4,0.62,1,Y
0.27,0.27,0.25,0.25,0.27,0.27,10,12,0.59,0.59,0.67,0.67,2,N
0.25,0.27,0.32,0.25,0.24,0.27,10,12,0.62,0.45,0.68,0.5,2,N
0.33,0.56,0.43,0.63,0.19,0.16,10,12,0.33,0.36,0.45,0.46,2,N
0.33,0.5,0.43,0.56,0.19,0.16,10,12,0.39,0.41,0.5,0.5,2,N
0.38,0.5,0.46,0.56,0.19,0.16,10,12,0.28,0.45,0.4,0.54,2,N
0.43,0.59,0.5,0.63,0.19,0.16,10,12,0.28,0.5,0.4,0.58,2,N
0.43,0.52,0.5,0.61,0.31,0.16,10,12,0.33,0.55,0.45,0.62,2,N
0.31,0.46,0.29,0.56,0.31,0.16,10,12,0.39,0.59,0.5,0.67,2,N
0.31,0.4,0.29,0.47,0.31,0.16,10,12,0.44,0.64,0.55,0.71,2,N
0.31,0.4,0.29,0.47,0.31,0.16,10,12,0.5,0.5,0.6,0.58,2,N
0.34,0.27,0.42,0.25,0.27,0.27,12,12,0.55,0.55,0.62,0.62,2,N
0.27,0.27,0.25,0.25,0.27,0.27,12,12,0.59,0.59,0.67,0.67,2,N
0.26,0.27,0.42,0.25,0.24,0.27,14,12,0.62,0.45,0.68,0.5,2,N
0.33,0.56,0.43,0.63,0.19,0.16,10,12,0.33,0.36,0.45,0.46,2,N
0.33,0.5,0.43,0.56,0.19,0.16,10,12,0.39,0.41,0.5,0.5,2,N
0.52,0.29,0.61,0.38,0.16,0.16,12,12,0.55,0.5,0.62,0.58,2,N
0.56,0.29,0.65,0.38,0.16,0.16,12,12,0.55,0.55,0.62,0.62,2,N
0.61,0.29,0.68,0.38,0.16,0.16,12,12,0.55,0.55,0.62,0.62,2,N
0.5,0.29,0.61,0.38,0.16,0.16,12,12,0.59,0.59,0.67,0.67,2,N
0.5,0.29,0.56,0.38,0.16,0.16,12,12,0.64,0.45,0.71,0.54,2,N
0.4,0.27,0.47,0.25,0.16,0.16,12,12,0.5,0.5,0.58,0.58,2,N
0.34,0.27,0.47,0.25,0.27,0.27,12,12,0.55,0.55,0.62,0.62,2,N
0.27,0.27,0.25,0.25,0.27,0.27,12,12,0.59,0.59,0.67,0.67,2,N
0.26,0.27,0.42,0.25,0.24,0.27,14,12,0.62,0.45,0.68,0.5,2,N
0.33,0.56,0.43,0.63,0.19,0.16,10,12,0.33,0.36,0.45,0.46,2,N
0.33,0.5,0.43,0.56,0.19,0.16,10,12,0.39,0.41,0.5,0.5,2,N
0.38,0.5,0.46,0.56,0.19,0.16,10,12,0.28,0.45,0.4,0.54,2,N
0.56,0.29,0.65,0.38,0.16,0.16,12,12,0.55,0.55,0.62,0.62,2,N
0.61,0.29,0.68,0.38,0.16,0.16,12,12,0.55,0.55,0.62,0.62,2,N
0.5,0.29,0.61,0.38,0.16,0.16,12,12,0.59,0.59,0.67,0.67,2,N
0.5,0.29,0.56,0.38,0.16,0.16,12,12,0.64,0.45,0.71,0.54,2,N
0.4,0.27,0.47,0.25,0.16,0.16,12,12,0.5,0.5,0.58,0.58,2,N
0.34,0.27,0.47,0.25,0.27,0.27,12,12,0.55,0.55,0.62,0.62,2,N
0.27,0.27,0.25,0.25,0.27,0.27,12,12,0.59,0.59,0.67,0.67,2,N
0.26,0.27,0.42,0.25,0.24,0.27,14,12,0.62,0.45,0.68,0.5,2,N
0.59,0.29,0.63,0.38,0.16,0.16,12,12,0.55,0.59,0.62,0.67,2,N
0.52,0.29,0.61,0.38,0.16,0.16,12,12,0.55,0.5,0.62,0.58,2,N
0.52,0.29,0.61,0.38,0.16,0.16,12,12,0.55,0.5,0.62,0.58,2,N
0.56,0.29,0.65,0.38,0.16,0.16,12,12,0.55,0.55,0.62,0.62,2,N
0.61,0.29,0.68,0.38,0.16,0.16,12,12,0.55,0.55,0.62,0.62,2,N
0.5,0.29,0.61,0.38,0.16,0.16,12,12,0.59,0.59,0.67,0.67,2,N
0.5,0.29,0.56,0.38,0.16,0.16,12,12,0.64,0.45,0.71,0.54,2,N
0.4,0.27,0.47,0.25,0.16,0.16,12,12,0.5,0.5,0.58,0.58,2,N
0.34,0.27,0.47,0.25,0.27,0.27,12,12,0.55,0.55,0.62,0.62,2,N
0.27,0.27,0.25,0.25,0.27,0.27,12,12,0.59,0.59,0.67,0.67,2,N
0.26,0.27,0.42,0.25,0.24,0.27,14,12,0.62,0.45,0.68,0.5,2,N
0.33,0.56,0.43,0.63,0.19,0.16,10,12,0.33,0.36,0.45,0.46,2,N
0.33,0.5,0.43,0.56,0.19,0.16,10,12,0.39,0.41,0.5,0.5,2,N
0.38,0.5,0.46,0.56,0.19,0.16,10,12,0.28,0.45,0.4,0.54,2,N
0.43,0.59,0.5,0.63,0.19,0.16,10,12,0.28,0.5,0.4,0.58,2,N
0.61,0.29,0.68,0.38,0.16,0.16,12,12,0.55,0.55,0.62,0.62,2,N
0.5,0.29,0.61,0.38,0.16,0.16,12,12,0.59,0.59,0.67,0.67,2,N
0.5,0.29,0.56,0.38,0.16,0.16,12,12,0.64,0.45,0.71,0.54,2,N
0.4,0.27,0.47,0.25,0.16,0.16,12,12,0.5,0.5,0.58,0.58,2,N
0.34,0.27,0.47,0.25,0.27,0.27,12,12,0.55,0.55,0.62,0.62,2,N
0.27,0.27,0.25,0.25,0.27,0.27,12,12,0.59,0.59,0.67,0.67,2,N
0.26,0.27,0.42,0.25,0.24,0.27,14,12,0.62,0.45,0.68,0.5,2,N
0.33,0.56,0.43,0.63,0.19,0.16,10,12,0.33,0.36,0.45,0.46,2,N
0.33,0.5,0.43,0.56,0.19,0.16,10,12,0.39,0.41,0.5,0.5,2,N
0.38,0.5,0.46,0.56,0.19,0.16,10,12,0.28,0.45,0.4,0.54,2,N
0.43,0.59,0.5,0.63,0.19,0.16,10,12,0.28,0.5,0.4,0.58,2,N
0.43,0.52,0.5,0.61,0.31,0.16,10,12,0.33,0.55,0.45,0.62,2,N
0.5,0.29,0.61,0.38,0.16,0.16,12,12,0.59,0.59,0.67,0.67,2,N
0.5,0.29,0.56,0.38,0.16,0.16,12,12,0.64,0.45,0.71,0.54,2,N
0.4,0.27,0.47,0.25,0.16,0.16,12,12,0.5,0.5,0.58,0.58,2,N
0.34,0.27,0.47,0.25,0.27,0.27,12,12,0.55,0.55,0.62,0.62,2,N
0.27,0.27,0.25,0.25,0.27,0.27,12,12,0.59,0.59,0.67,0.67,2,N
0.26,0.27,0.42,0.25,0.24,0.27,14,12,0.62,0.45,0.68,0.5,2,N
0.33,0.56,0.43,0.63,0.19,0.16,10,12,0.33,0.36,0.45,0.46,0,N
0.33,0.5,0.43,0.56,0.19,0.16,10,12,0.39,0.41,0.5,0.5,0,N
0.38,0.5,0.46,0.56,0.19,0.16,10,12,0.28,0.45,0.4,0.54,0,N
0.43,0.59,0.5,0.63,0.19,0.16,10,12,0.28,0.5,0.4,0.58,0,N
0.43,0.52,0.5,0.61,0.31,0.16,10,12,0.33,0.55,0.45,0.62,0,N
0.31,0.46,0.29,0.56,0.31,0.16,10,12,0.39,0.59,0.5,0.67,0,N
0.31,0.4,0.29,0.47,0.31,0.16,10,12,0.44,0.64,0.55,0.71,0,N
0.31,0.4,0.29,0.47,0.31,0.16,10,12,0.5,0.5,0.6,0.58,0,N
0.31,0.38,0.38,0.47,0.4,0.27,10,12,0.33,0.55,0.4,0.62,1,Y
0.27,0.27,0.25,0.25,0.27,0.27,10,12,0.59,0.59,0.67,0.67,0,N
0.25,0.27,0.32,0.25,0.24,0.27,10,12,0.62,0.45,0.68,0.5,0,N
0.33,0.56,0.43,0.63,0.19,0.16,10,12,0.33,0.36,0.45,0.46,2,N
0.33,0.5,0.43,0.56,0.19,0.16,10,12,0.39,0.41,0.5,0.5,2,N
0.38,0.5,0.46,0.56,0.19,0.16,10,12,0.28,0.45,0.4,0.54,2,N
0.43,0.59,0.5,0.63,0.19,0.16,10,12,0.28,0.5,0.4,0.58,2,N
0.43,0.52,0.5,0.61,0.31,0.16,10,12,0.33,0.55,0.45,0.62,2,N
0.31,0.46,0.29,0.56,0.31,0.16,10,12,0.39,0.59,0.5,0.67,2,N
0.5,0.29,0.56,0.38,0.16,0.16,12,12,0.64,0.45,0.71,0.54,2,N
0.4,0.27,0.47,0.25,0.16,0.16,12,12,0.5,0.5,0.58,0.58,2,N
0.34,0.27,0.47,0.25,0.27,0.27,12,12,0.55,0.55,0.62,0.62,2,N
0.27,0.27,0.25,0.25,0.27,0.27,12,12,0.59,0.59,0.67,0.67,2,N
0.26,0.27,0.42,0.25,0.24,0.27,14,12,0.62,0.45,0.68,0.5,2,N
0.33,0.56,0.43,0.63,0.19,0.16,10,12,0.33,0.36,0.45,0.46,2,N
0.33,0.5,0.43,0.56,0.19,0.16,10,12,0.39,0.41,0.5,0.5,2,N
0.38,0.5,0.46,0.56,0.19,0.16,10,12,0.28,0.45,0.4,0.54,2,N
0.43,0.59,0.5,0.63,0.19,0.16,10,12,0.28,0.5,0.4,0.58,2,N
0.43,0.52,0.5,0.61,0.31,0.16,10,12,0.33,0.55,0.45,0.62,2,N
0.31,0.46,0.29,0.56,0.31,0.16,10,12,0.39,0.59,0.5,0.67,2,N
0.31,0.4,0.29,0.47,0.31,0.16,10,12,0.44,0.64,0.55,0.71,2,N
0.31,0.4,0.29,0.47,0.31,0.16,10,12,0.5,0.5,0.6,0.58,2,N
0.31,0.38,0.38,0.47,0.4,0.27,10,12,0.33,0.55,0.4,0.62,1,Y
0.27,0.27,0.25,0.25,0.27,0.27,10,12,0.59,0.59,0.67,0.67,2,N
0.25,0.27,0.33,0.25,0.24,0.27,10,12,0.62,0.45,0.68,0.5,2,N
0.45,0.57,0.54,0.62,0.23,0.19,8,10,0.07,0.33,0.25,0.45,2,N
0.5,0.67,0.57,0.71,0.23,0.19,8,10,0.07,0.39,0.25,0.5,2,N
0.5,0.59,0.57,0.69,0.37,0.19,8,10,0.14,0.44,0.31,0.55,2,N
0.36,0.48,0.33,0.6,0.36,0.18,8,10,0.21,0.5,0.38,0.6,2,N
0.36,0.46,0.33,0.53,0.36,0.19,8,10,0.29,0.56,0.44,0.65,2,N
0.36,0.46,0.33,0.53,0.36,0.18,8,10,0.36,0.39,0.5,0.5,2,N
0.36,0.35,0.43,0.53,0.46,0.31,8,10,0.14,0.44,0.25,0.55,1,Y
0.31,0.31,0.29,0.29,0.31,0.31,8,10,0.5,0.5,0.6,0.6,2,N
0.29,0.31,0.38,0.29,0.27,0.31,8,10,0.55,0.33,0.62,0.4,2,N
0.45,0.57,0.54,0.62,0.23,0.19,8,10,0.07,0.33,0.25,0.45,2,N
0.64,0.33,0.73,0.43,0.19,0.19,10,10,0.44,0.44,0.55,0.55,2,N
0.69,0.33,0.76,0.43,0.19,0.19,10,10,0.44,0.44,0.55,0.55,2,N
0.57,0.33,0.69,0.43,0.19,0.19,10,10,0.5,0.5,0.6,0.6,2,N
0.57,0.33,0.62,0.43,0.19,0.19,10,10,0.56,0.33,0.65,0.45,2,N
0.46,0.31,0.53,0.29,0.19,0.19,10,10,0.39,0.39,0.5,0.5,2,N
