ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
MOVE PLACE_2_4 PLACE_2_5,0.5,0.67,0.57,0.71,0.23,0.19,8.0,10.0,0.07,0.39,0.25,0.5,2.0,N
MOVE PLACE_2_5 PLACE_2_6,0.5,0.59,0.57,0.69,0.37,0.19,8.0,10.0,0.14,0.44,0.31,0.55,2.0,N
MOVE PLACE_2_6 PLACE_2_7,0.36,0.48,0.33,0.6,0.36,0.18,8.0,10.0,0.21,0.5,0.38,0.6,2.0,N
MOVE PLACE_2_7 PLACE_2_8,0.36,0.46,0.33,0.53,0.36,0.19,8.0,10.0,0.29,0.56,0.44,0.65,2.0,N
MOVE PLACE_2_8 PLACE_2_9,0.36,0.46,0.33,0.53,0.36,0.18,8.0,10.0,0.36,0.39,0.5,0.5,2.0,N
MOVE PLACE_2_9 PLACE_2_10,0.36,0.35,0.43,0.53,0.46,0.31,8.0,10.0,0.14,0.44,0.25,0.55,1.0,Y
MOVE PLACE_2_10 PLACE_3_10,0.31,0.31,0.29,0.29,0.31,0.31,8.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_3_10 PLACE_3_11,0.29,0.31,0.38,0.29,0.27,0.31,8.0,10.0,0.55,0.33,0.62,0.4,2.0,N
MOVE PLACE_2_3 PLACE_2_4,0.45,0.57,0.54,0.62,0.23,0.19,8.0,10.0,0.07,0.33,0.25,0.45,2.0,N
MOVE PLACE_2_4 PLACE_3_4,0.64,0.33,0.73,0.43,0.19,0.19,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_3_4 PLACE_3_5,0.69,0.33,0.76,0.43,0.19,0.19,10.0,10.0,0.44,0.44,0.55,0.55,2.0,N
MOVE PLACE_3_5 PLACE_3_6,0.57,0.33,0.69,0.43,0.19,0.19,10.0,10.0,0.5,0.5,0.6,0.6,2.0,N
MOVE PLACE_3_6 PLACE_3_7,0.57,0.33,0.62,0.43,0.19,0.19,10.0,10.0,0.56,0.33,0.65,0.45,2.0,N
