o,C,R,D,Fo,DistToCritical,DistToDesirable,CurrentHasLM,Label
MOVE PLACE_2_3 PLACE_2_4,0.5,0.02,0.03,1.49,6,8,0.0,N
MOVE PLACE_2_4 PLACE_2_5,0.5,0.03,0.05,1.48,5,7,0.0,N
MOVE PLACE_2_5 PLACE_2_6,0.5,0.06,0.09,1.4700000000000002,4,6,0.0,N
MOVE PLACE_2_6 PLACE_2_7,0.5,0.12,0.15,1.47,3,5,0.0,N
MOVE PLACE_2_7 PLACE_2_8,0.5,0.25,0.23,1.52,2,4,0.0,N
MOVE PLACE_2_8 PLACE_2_9,0.5,0.5,0.33,1.67,1,3,0.0,N
MOVE PLACE_2_9 PLACE_2_10,0.5,1.0,0.0,2.5,0,-1,0.0,Y
MOVE PLACE_2_10 PLACE_2_11,0.5,0.0,0.5,1.0,-1,1,0.0,N
MOVE PLACE_2_11 PLACE_3_11,1.0,0.0,1.0,1.0,-1,0,0.0,N
